type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Tv Show,The Surgeon'S Cut,,,United States,09-Dec-20,2020,TV-14,1 Season,"Docuseries, Science & Nature Tv","They’Re Philosophers, Storytellers And Pioneers In Their Fields. Four Surgeons Reflect On Their Lives And Professions In This Inspiring Docuseries."
Tv Show,The Bachelorette,,,United States,01-Dec-20,2010,TV-14,1 Season,"Reality Tv, Romantic Tv Shows",Beloved “Bachelor” Contestant Ali Fedotowsky Embarks On Her Own Search For Happily Ever After And Navigates The Thrills And Spills Of Reality Tv Romance.
Tv Show,The Holiday Movies That Made Us,,,United States,01-Dec-20,2020,TV-PG,1 Season,Docuseries,"Unwrap The Real Stories Behind These Iconic Christmas Blockbusters, Thanks To Insider Interviews And Behind-The-Scenes Peeks."
Tv Show,We Are The Champions,,,United States,17-Nov-20,2020,TV-MA,1 Season,"Docuseries, Reality Tv","Explore An Array Of Unique Competitions, From The Quirky To The Bizarre, And Meet Their Passionate Communities In This Docuseries."
Tv Show,Trial 4,,,United States,11-Nov-20,2020,TV-MA,1 Season,"Crime Tv Shows, Docuseries","Charged As A Teen In The 1993 Killing Of A Boston Cop, Sean K. Ellis Fights To Prove His Innocence While Exposing Police Corruption And Systemic Racism."
Tv Show,Country Ever After,,,United States,06-Nov-20,2020,TV-PG,1 Season,Reality Tv,"Country Artist Coffey Anderson And His Wife, Hip-Hop Dancer Criscilla, Juggle Family Life, Career Goals And Tests Of Faith In This Reality Series."
Tv Show,60 Days In,,,United States,01-Nov-20,2019,TV-MA,1 Season,Reality Tv,"Recruited By A Sheriff, Volunteers Infiltrate County Prisons To Expose Corruption And Crime From Within The System In This Docuseries."
Tv Show,Lego Jurassic World: Legend Of Isla Nublar,,,United States,01-Nov-20,2019,TV-Y,1 Season,Kids' Tv,"At Jurassic Park, A Velociraptor Handler And An Operations Manager Tackle Crises Of Epic Proportions As They Try To Prevent Dinosaur-Sized Disasters."
Tv Show,Deaf U,,,United States,09-Oct-20,2020,TV-MA,1 Season,Docuseries,"In This Reality Series, A Tight-Knit Group Of Deaf And Hard Of Hearing Students Share Their Stories And Explore Life At Gallaudet University."
Tv Show,"Whose Vote Counts, Explained",,,United States,28-Sep-20,2020,TV-PG,1 Season,Docuseries,"The Right To Vote Is At The Foundation Of America'S Democracy. But Not Every Vote Is Created Equal. How Does The System Work, And Can It Be Fixed?"
Tv Show,The Playbook,,,United States,22-Sep-20,2020,TV-MA,1 Season,Docuseries,Coaches With Championship Résumés Share Their Personal Rules For Success In Sports And Life In This Reflective And Inspiring Documentary Series.
Tv Show,Challenger,,,United States,16-Sep-20,2020,TV-14,1 Season,"Docuseries, Science & Nature Tv","Engineers, Officials And The Crew Members' Families Provide Their Perspective On The 1986 Space Shuttle Challenger Disaster And Its Aftermath."
Tv Show,Get Organized With The Home Edit,,,United States,09-Sep-20,2020,TV-PG,1 Season,Reality Tv,"Expert Home Organizers Clea And Joanna Help Celebrities And Everyday Clients Edit, Categorize And Contain Their Clutter To Create Stunning Spaces."
Tv Show,Chef'S Table: Bbq,,,United States,02-Sep-20,2020,TV-14,1 Season,"Docuseries, Reality Tv","The Emmy-Nominated Series Delves Into The Juicy, Smoky World Of Barbecue, Visiting Acclaimed Chefs And Pitmasters In The Us, Australia And Mexico."
Tv Show,Million Dollar Beach House,,,United States,26-Aug-20,2020,TV-MA,1 Season,Reality Tv,The Competition Is Fierce — And The Drama Undeniable — As A Group Of Young And Hungry Agents Try To Seal The Deal On Luxury Listings In The Hamptons.
Tv Show,Demarcus Family Rules,,,United States,19-Aug-20,2020,TV-14,1 Season,Reality Tv,Rascal Flatts Bassist Jay Demarcus And Ex-Beauty Queen Allison Demarcus Write Their Own Rules For Juggling Family And Fun In This Reality Show.
Tv Show,High Score,,,United States,19-Aug-20,2020,TV-14,1 Season,"Docuseries, Science & Nature Tv","This Docuseries Traces The History Of Classic Video Games, Featuring Insights From The Innovators Who Brought These Worlds And Characters To Life."
Tv Show,(Un)Well,,,United States,12-Aug-20,2020,TV-MA,1 Season,Reality Tv,"This Docuseries Takes A Deep Dive Into The Lucrative Wellness Industry, Which Touts Health And Healing. But Do The Products Live Up To The Promises?"
Tv Show,Word Party Songs,,,United States,07-Aug-20,2020,TV-Y,1 Season,Kids' Tv,"Sing Along And Dance With Bailey, Franny, Kip, Lulu And Tilly In This Collection Of Music Videos That Will Get You In The Mood To Move And Groove!"
Tv Show,World'S Most Wanted,,,United States,05-Aug-20,2020,TV-14,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows","Suspected Of Heinous Crimes, They’Ve Avoided Capture Despite Massive Rewards And Global Investigations. A Docuseries Profiling The World’S Most Wanted."
Tv Show,Immigration Nation,,,United States,03-Aug-20,2020,TV-MA,1 Season,Docuseries,"With Unprecedented Access To Ice Operations, As Well As Moving Portraits Of Immigrants, This Docuseries Takes A Deep Look At Us Immigration Today."
Tv Show,Fear City: New York Vs The Mafia,,,United States,22-Jul-20,2020,TV-MA,1 Season,"Crime Tv Shows, Docuseries","Five Mafia Families Ruled New York With A Bloody Fist In The 1970S And '80S, Until A Group Of Federal Agents Tried The Unthinkable: Taking Them Down."
Tv Show,Skin Decision: Before And After,,,United States,15-Jul-20,2020,TV-MA,1 Season,"Reality Tv, Science & Nature Tv",Skin And Beauty Expert Nurse Jamie And Plastic Surgeon Dr. Sheila Nazarian Use The Latest Procedures To Bring Out Their Clients' Best Selves.
Tv Show,Southern Survival,,,United States,03-Jul-20,2020,TV-PG,1 Season,Reality Tv,"The Battlbox Crew Tests Out Products Designed To Help People Survive Dangerous Situations, Including Explosions, Natural Disasters And Intruders."
Tv Show,Supermarket Sweep,,,United States,02-Jul-20,1993,TV-G,1 Season,Reality Tv,"In This Iconic Game Show, Contestants Answer Food Trivia Questions Then Race Against The Clock While Stuffing Their Carts For Massive Grocery Gains."
Tv Show,Home Game,,,United States,26-Jun-20,2020,TV-MA,1 Season,Docuseries,"This Docuseries Profiles Unique And Dangerous Traditional Sports From Around The World, As Well As The Communities And Cultures Where They Thrive."
Tv Show,Lenox Hill,,,United States,10-Jun-20,2020,TV-MA,1 Season,"Docuseries, Reality Tv, Science & Nature Tv",Four Doctors At New York'S Storied Lenox Hill Hospital Balance Their Personal Lives And Their Dedication To Their Patients In This Documentary Series.
Tv Show,Trial By Media,,,United States,11-May-20,2020,TV-MA,1 Season,"Crime Tv Shows, Docuseries","In This True Crime Docuseries, Some Of The Most Dramatic Trials Of All Time Are Examined With An Emphasis On How The Media May Have Impacted Verdicts."
Tv Show,"Coronavirus, Explained",,,United States,26-Apr-20,2020,TV-PG,1 Season,"Docuseries, Science & Nature Tv","In 2020, The World Changed. This Topical Series Examines The Coronavirus Pandemic, The Efforts To Combat It And Ways To Manage Its Mental Health Toll."
Tv Show,The Innocence Files,,,United States,15-Apr-20,2020,TV-MA,1 Season,"Crime Tv Shows, Docuseries","The Innocence Project Unravels Missteps And Deceit In A Series Of Wrongful Convictions, Exposing The Injustice Inflicted On Victims And The Accused."
Tv Show,How To Fix A Drug Scandal,,,United States,01-Apr-20,2020,TV-MA,1 Season,"Crime Tv Shows, Docuseries","Two Drug Lab Chemists' Shocking Crimes Cripple A State'S Judicial System And Blur The Lines Of Justice For Lawyers, Officials And Thousands Of Inmates."
Tv Show,The Trials Of Gabriel Fernandez,,,United States,26-Feb-20,2020,TV-MA,1 Season,"Crime Tv Shows, Docuseries",A Boy’S Brutal Murder And The Public Trials Of His Guardians And Social Workers Prompt Questions About The System’S Protection Of Vulnerable Children.
Tv Show,Who Killed Malcolm X?,,,United States,07-Feb-20,2020,TV-MA,1 Season,"Crime Tv Shows, Docuseries","Decades After The Assassination Of African American Leader Malcolm X, An Activist Embarks On A Complex Mission Seeking Truth In The Name Of Justice."
Tv Show,Pandemic: How To Prevent An Outbreak,,,United States,22-Jan-20,2020,TV-14,1 Season,"Docuseries, Science & Nature Tv","In This Docuseries, Meet The Heroes On The Front Lines Of The Battle Against Influenza And Learn About Their Efforts To Stop The Next Global Outbreak."
Tv Show,Cheer,,,United States,08-Jan-20,2020,TV-MA,1 Season,"Docuseries, Reality Tv, Teen Tv Shows",This Gripping Docuseries Follows The Ups And Downs Of Navarro College'S Competitive Cheer Squad As They Work To Win A Coveted National Title.
Tv Show,Kevin Hart: Don’T F**K This Up,,,United States,27-Dec-19,2019,TV-MA,1 Season,Docuseries,"Amid Turmoil In His Career And Marriage, Comedian And Film Star Kevin Hart Opens Up About His Personal Breakthroughs As He Navigates Crises And Fame."
Tv Show,Narcoworld: Dope Stories,,,United States,22-Nov-19,2019,TV-MA,1 Season,"Crime Tv Shows, Docuseries","Ride Along As Police Officers And Drug Smugglers Go Toe-To-Toe, Trying To Outwit Each Other In Locales Around The World."
Tv Show,The Devil Next Door,,,United States,04-Nov-19,2019,TV-MA,1 Season,"Crime Tv Shows, Docuseries","A Cleveland Grandfather Is Brought To Trial In Israel, Accused Of Being The Infamous Nazi Death Camp Guard Known As Ivan The Terrible."
Tv Show,Living Undocumented,,,United States,02-Oct-19,2019,TV-MA,1 Season,Docuseries,Eight Undocumented Families' Fates Roller-Coast As The United States' Immigration Policies Are Transformed.
Tv Show,Basketball Or Nothing,,,United States,02-Aug-19,2019,TV-PG,1 Season,"Docuseries, Reality Tv",Follow The Chinle High Basketball Team In Arizona'S Navajo Nation On A Quest To Win A State Championship And Bring Pride To Their Isolated Community.
Tv Show,Exhibit A,,,United States,28-Jun-19,2019,TV-MA,1 Season,"Crime Tv Shows, Docuseries, Science & Nature Tv",This True Crime Series Shows How Innocent People Have Been Convicted With Dubious Forensic Techniques And Tools Such As Touch Dna And Cadaver Dogs.
Tv Show,Street Food,,,United States,26-Apr-19,2019,TV-PG,1 Season,Docuseries,Embark On A Global Cultural Journey Into Street Food And Discover The Stories Of The People Who Create The Flavorful Dishes.
Tv Show,Time: The Kalief Browder Story,,,United States,07-Apr-19,2017,TV-MA,1 Season,Docuseries,"This Series Traces The Tragic Case Of Kalief Browder, A Bronx Teen Who Spent Three Horrific Years In Jail, Despite Never Being Convicted Of A Crime."
Tv Show,Conversations With A Killer: The Ted Bundy Tapes,,,United States,24-Jan-19,2019,TV-MA,1 Season,"Crime Tv Shows, Docuseries","Present-Day Interviews, Archival Footage And Audio Recordings Made On Death Row Form A Searing Portrait Of Notorious Serial Killer Ted Bundy."
Tv Show,Murder Mountain,,,United States,28-Dec-18,2018,TV-MA,1 Season,"Crime Tv Shows, Docuseries","In Humboldt County, California, The Big Business Of Legal Marijuana Brings In Visitors From Around The World. Some Are Never Seen Again."
Tv Show,7 Days Out,,,United States,21-Dec-18,2018,TV-PG,1 Season,Docuseries,"Witness The Excitement And Drama Behind The Scenes In The Seven Days Leading Up To Major Live Events In The Worlds Of Sports, Fashion, Space And Food."
Tv Show,Westside,,,United States,09-Nov-18,2018,TV-MA,1 Season,Reality Tv,Nine Struggling Musicians Share The Spotlight In This Deeply Personal Reality Series About The Challenges And Thrills Of Staging A Hollywood Showcase.
Tv Show,Made In Mexico,,,United States,28-Sep-18,2018,TV-MA,1 Season,"International Tv Shows, Reality Tv, Spanish-Language Tv Shows","These Mexico City Socialites May Lead Opulent Lives, But A Peek Behind The Curtain Reveals A Tangled Web Of Intrigue, Envy And Personal Struggles."
Tv Show,Norm Macdonald Has A Show,,,United States,14-Sep-18,2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, Tv Comedies",Comedian Norm Macdonald Hosts His Celebrity Friends For Casual Conversations That Range From Silly To Serious And Take Many Unexpected Turns.
Tv Show,Chicken Soup For The Soul'S Being Dad,,,United States,27-Aug-18,2018,TV-MA,1 Season,Docuseries,"Nine Dads Around America With Different Family Structures, Backgrounds And Jobs Navigate The Joys And Challenges Of Fatherhood."
Tv Show,Afflicted,,,United States,10-Aug-18,2018,TV-MA,1 Season,"Docuseries, Reality Tv, Science & Nature Tv",Baffling Symptoms. Controversial Diagnoses. Costly Treatments. Seven People With Chronic Illnesses Search For Answers – And Relief.
Tv Show,The Break With Michelle Wolf,,,United States,27-May-18,2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, Tv Comedies",Nobody'S Safe As Michelle Wolf Unapologetically Takes Aim In This Weekly Topical Show That Blends Sketches With Live Comedy And In-Studio Guests.
Tv Show,Wild Wild Country,,,United States,16-Mar-18,2018,TV-MA,1 Season,"Crime Tv Shows, Docuseries","When A Controversial Cult Leader Builds A Utopian City In The Oregon Desert, Conflict With The Locals Escalates Into A National Scandal."
Tv Show,Flint Town,,,United States,02-Mar-18,2018,TV-MA,1 Season,"Docuseries, Science & Nature Tv","Over A Two-Year Period, Filmmakers Embedded With Cops In Flint, Michigan, Reveal A Department Grappling With Volatile Issues In Untenable Conditions."
Tv Show,Shot In The Dark,,,United States,17-Nov-17,2017,TV-MA,1 Season,Reality Tv,"Three Rival Freelance Stringers Scour The Streets At Night To Film Crime Scenes, Fires, Accidents – And Anything Else They Can Sell To News Outlets."
Tv Show,Fire Chasers,,,United States,08-Sep-17,2017,TV-MA,1 Season,"Docuseries, Science & Nature Tv","As California'S 2016 Fire Season Rages, Brave Backcountry Firefighters Race To Put Out The Flames, Protect Homes And Save Lives In This Docuseries."
Tv Show,High Risk,,,United States,01-Sep-17,1988,TV-PG,1 Season,"Docuseries, Reality Tv","From Scientists To Snake Handlers, This Series Explores What Motivates Some People To Put Themselves In Jeopardy To Perform Extraordinary Feats."
Tv Show,The Keepers,,,United States,19-May-17,2017,TV-MA,1 Season,"Crime Tv Shows, Docuseries, Tv Mysteries",This Docuseries Examines The Decades-Old Murder Of Sister Catherine Cesnik And Its Suspected Link To A Priest Accused Of Abuse.
Tv Show,Cheer Squad,,,United States,14-Mar-17,2016,TV-PG,1 Season,"Reality Tv, Teen Tv Shows","Follow The Great White Sharks, A World-Champion Cheerleading Squad, As They Juggle The Pressures Of Training, School, Work And Relationships."
Tv Show,Behind Enemy Lines,,,United States,15-Aug-16,2001,TV-14,1 Season,"British Tv Shows, Docuseries","After Dire Setbacks In 1940, Winston Churchill Commissions A New Kind Of Fighting Force: Commandos Trained To Use Stealth And Audacious Tactics."
Tv Show,Christiane Amanpour: Sex & Love Around The World,,,United States,30-Sep-18,2018,TV-MA,1 Season,Docuseries,"A Contextual, Acculturated Dive Into How Adults In Six, Big Global Cities Celebrate Love And Accentuate Sex. Cnn'S Christiane Amanpour Reports."
Tv Show,Cold Case Files,,,United States,15-Sep-19,2017,TV-14,1 Season,"Crime Tv Shows, Docuseries",Masterful Detectives Utilize Forensic Science And Criminal Psychology To Re-Examine Long-Standing Cases.
Tv Show,Conan Without Borders,,,United States,31-Dec-18,2018,TV-14,1 Season,"Docuseries, Tv Comedies",Late-Night Talk Show Host Conan O'Brien Hits The Road In This Special That Brings Him And His Sense Of Humor To Far-Flung Destinations.
Tv Show,Dinner For Five,,,United States,04-Feb-08,2007,TV-MA,1 Season,Stand-Up Comedy & Talk Shows,"In Each Episode, Four Celebrities Join Host Jon Favreau For Dinner And Share Revealing Stories About Both Show Business And Their Personal Lives."
Tv Show,Inside The Mind Of A Serial Killer,,,United States,01-Jul-19,2015,TV-14,1 Season,"Crime Tv Shows, Docuseries","Mixing Dramatic Re-Enactments With Real-Life Footage, This Series Delves Into The Tormented Psyches Of The World'S Most Infamous Serial Killers."
Tv Show,Marching Orders,,,United States,03-Aug-18,2018,TV-14,1 Season,Docuseries,"A Top-Ranked College Marching Band’S Members Fight To Keep Their Spots, Memorize Routines, Tend To Their Social Lives – And Slay The Competition."
Tv Show,Mexico Diseña,,,United States,01-Feb-17,2016,TV-PG,1 Season,"International Tv Shows, Reality Tv, Spanish-Language Tv Shows",Young Fashion Designers Vie For The Chance To Become Mexico'S Next Big Talent By Competing Before Judges In Grueling Tests Of Creativity And Stamina.
Tv Show,The 2000S,,,United States,19-Feb-19,2018,TV-MA,1 Season,Docuseries,"Examine The Triumphs, Tragedies, Cultural Shifts And Technological Leaps That Occurred During The Millennium'S First Decade."
Tv Show,The Eighties,,,United States,30-Sep-18,2016,TV-PG,1 Season,Docuseries,"This Nostalgic Documentary Series Relives The 1980S From A Variety Of Angles, Exploring Its Impact On The Politics, Technology And Culture Of Today."
Tv Show,The Mortified Guide,,,United States,14-Feb-18,2018,TV-MA,1 Season,Docuseries,"Brave People Get Onstage To Read Hilarious And Humiliating Tales Of Gawky Teenage Love, Family Dysfunction And Other Stories From Their Younger Years."
Tv Show,The Nineties,,,United States,30-Sep-18,2017,TV-14,1 Season,Docuseries,This U.S.-Focused Series Dives Into The Cultural And Political Changes That Swept The Last Decade Of The 20Th Century. Executive Produced By Tom Hanks.
Tv Show,The Seventies,,,United States,30-Sep-18,2015,TV-PG,1 Season,Docuseries,"This Series Examines 1970S America, Focusing On The Major Political And Historical Landmarks Of The Decade And The Cultural Response To Those Events."
Tv Show,He-Man And The Masters Of The Universe,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,16-Sep-21,2021,TV-Y7,1 Season,"Kids' Tv, Tv Sci-Fi & Fantasy",Mighty Teen Adam And His Heroic Squad Of Misfits Discover The Legendary Power Of Grayskull — And Their Destiny To Defend Eternia From Sinister Skeletor.
Tv Show,Sparking Joy,,Marie Kondo,United States,31-Aug-21,2021,TV-PG,1 Season,Reality Tv,"In This Reality Series, Marie Kondo Brings Her Joyful Tidying Tactics To People Struggling To Balance Work And Home Life — And Shares Her Own World."
Tv Show,Ridley Jones,,"Iara Nemirovsky, Laraine Newman, David Errigo Jr, Tyler Shamy, Ezra Menas, Ashlyn Madden, Sutton Foster",United States,13-Jul-21,2021,TV-Y,1 Season,Kids' Tv,Curious Kid Ridley And Her Friends Protect The Museum Of Natural History’S Treasures And Keep Its Magical Secret Safe: Everything Comes Alive At Night!
Tv Show,We The People,,"H.E.R., Adam Lambert, Cordae, Kristen Anderson-Lopez, Daveed Diggs, Brittany Howard, Robert Lopez, Lin-Manuel Miranda, Brandi Carlile, Kyle Harvey, Bebe Rexha, Andra Day, Janelle Monáe, Amanda Gorman",United States,04-Jul-21,2021,TV-Y7,1 Season,Kids' Tv,"Learn The Basics Of Rights And Citizenship With Upbeat Songs By Popular Artists Like Janelle Monáe, H.E.R., Adam Lambert, Brandi Carlile And More."
Tv Show,Rainbow Rangers,,"Penelope Rawlins, Juliette Crosbie, Zehra Naqvi, Phillipa Alexander, Aileen Mythen",United States,01-Jul-21,2018,TV-Y,1 Season,Kids' Tv,"When Earth'S Animals And Natural Wonders Need A Rescue, The Rainbow Rangers Combine Their Colorful Powers To Protect The Planet And Save The Day!"
Tv Show,Champions,,"Anders Holm, Fortune Feimster, Andy Favreau, J.J. Totah, Mouzam Makkar, Yassir Lester, Robert Costanzo, Ginger Gonzaga, Mindy Kaling",United States,19-Jun-21,2018,TV-14,1 Season,Tv Comedies,"Years After Getting His Girlfriend Pregnant, Washed-Up Jock Vince Meets His Eccentric Son Michael And Learns About Fatherhood, One Show Tune At A Time."
Tv Show,Avengers Climate Conundrum,,"Giles Panton, Michael Daingerfield, Bill Newton, James Blight, Nicole Oliver, Adrian Petriw, Alex Barima, Rebecca Shoichet",United States,15-Jun-21,2020,TV-Y7,1 Season,"Kids' Tv, Tv Comedies","When A Mysterious Force Steals Tony Stark’S Weather Machine To Wreak Havoc On The World, The Avengers Must Survive The Extreme Storms To Save The Day."
Tv Show,Power Rangers Dino Fury,,"Russell Curry, Hunter Deno, Kai Moya, Tessa Rao, Chance Perez, Shavaughn Ruakere, Blair Strang",United States,15-Jun-21,2021,TV-G,1 Season,Kids' Tv,"With The Prehistoric Force Of The Dinosaurs, A New Crew Of Power Rangers Must Deal With A Menacing Army Of Alien Creatures Attacking Earth."
Tv Show,Sweet Tooth,,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania Lavie Owen, Dania Ramirez, Aliza Vellani, Will Forte, James Brolin, Neil Sandilands, Mia Artemis",United States,04-Jun-21,2021,TV-14,1 Season,"Tv Action & Adventure, Tv Dramas, Tv Sci-Fi & Fantasy","On A Perilous Adventure Across A Post-Apocalyptic World, A Lovable Boy Who'S Half-Human And Half-Deer Searches For A New Beginning With A Gruff Protector."
Tv Show,The Upshaws,,"Mike Epps, Wanda Sykes, Kim Fields, Page Kennedy, Diamond Lyons, Khali Daniya-Renee Spraggins, Jermelle Simon, Gabrielle Dennis, Journey Christine",United States,12-May-21,2021,TV-14,1 Season,Tv Comedies,A Working-Class Black Family In Indiana Strives For A Better Life And A Happy Home While Juggling Everyday Struggles In This Comedy Series.
Tv Show,Shadow And Bone,,"Jessie Mei Li, Archie Renaux, Ben Barnes, Freddy Carter, Amita Suman, Kit Young, Danielle Galligan, Calahan Skogman, Sujaya Dasgupta, Simon Sears, Daisy Head, Zoë Wanamaker, Luke Pasqualino, Julian Kostov",United States,23-Apr-21,2021,TV-14,1 Season,"Tv Action & Adventure, Tv Dramas, Tv Sci-Fi & Fantasy",Dark Forces Conspire Against Orphan Mapmaker Alina Starkov When She Unleashes An Extraordinary Power That Could Change The Fate Of Her War-Torn World.
Tv Show,Next In Fashion,,"Tan France, Alexa Chung",United States,15-Apr-21,2020,TV-14,1 Season,Reality Tv,"Talented Designers From Around The World Compete For $250,000 And The Chance To Become The Next Big Thing In Fashion."
Tv Show,Dad Stop Embarrassing Me!,,"Jamie Foxx, David Alan Grier, Kyla-Drew, Porscha Coleman, Jonathan Kite, Heather Hemmens, Valente Rodriguez",United States,14-Apr-21,2021,TV-14,1 Season,Tv Comedies,A Single Dad And Cosmetics Brand Owner Figures Out Fatherhood On The Fly When His Strong-Minded Teen Daughter Moves In With Him.
Tv Show,Rainbow High,,"Tara Sands, Anairis Quiñones, Laura Stahl, Jenny Yokobori, Kira Buckland, Brittany Cox, Brittany Lauda, Christian Banas, Rebeka Thomas, Hayden Summerall, Deneen Melody",United States,30-Mar-21,2020,TV-Y,1 Season,Kids' Tv,"The Popular Fashion Dolls Come To Life In This Animated Series As They Let Their Talents And True Colors Shine At The Visual Arts School, Rainbow High."
Tv Show,Country Comfort,,"Katharine Mcphee, Eddie Cibrian, Ricardo Hurtado, Jamie Martin Mann, Griffin Mcintyre, Shiloh Verrico, Pyper Braun, Janet Varney, Eric Balfour",United States,19-Mar-21,2021,TV-PG,1 Season,Tv Comedies,"After Hitting The Skids In Her Career, An Aspiring Country Singer Finds New Life As A Nanny For A Handsome Widower And His Five Charming Children."
Tv Show,Waffles + Mochi,,"Michelle Zamora, Russ Walko, Michelle Obama, Jonathan Kidder, Diona Elise Burnett, Taleia Gilliam, Lyric Lewis, Andy Hayward, Piotr Michael, George Konner",United States,16-Mar-21,2021,TV-Y,1 Season,Kids' Tv,Curious Puppet Pals Waffles And Mochi Travel The World Exploring The Wonders Of Food And Culture While Learning How To Cook With Fresh Ingredients.
Tv Show,City Of Ghosts,,"August Nuñez, Blue Chapman, Kirikou S'Hai Muldrow, Michael Ren, Angel Chipagua, Honor Calderon",United States,05-Mar-21,2021,TV-Y7,1 Season,Kids' Tv,"Meet The Ghost Club! Their Adventures Take Them All Around Los Angeles As They Interview Ghosts, Solve Problems And Learn About Their City'S History."
Tv Show,Canine Intervention,,Jas Leverette,United States,24-Feb-21,2021,TV-PG,1 Season,Reality Tv,"No Dog, No Breed, No Behavior Is Unfixable For Cali K9'S Jas Leverette. Follow The Oakland Dog Trainer As He Works With A Range Of Canines And Owners."
Tv Show,Ginny & Georgia,,"Brianne Howey, Antonia Gentry, Diesel La Torraca, Jennifer Robertson, Felix Mallard, Sara Waisglass, Scott Porter, Raymond Ablack",United States,24-Feb-21,2021,TV-14,1 Season,"Romantic Tv Shows, Tv Comedies, Tv Dramas","Free-Spirited Georgia And Her Two Kids, Ginny And Austin, Move North In Search Of A Fresh Start But Find That The Road To New Beginnings Can Be Bumpy."
Tv Show,The Crew,,"Kevin James, Sarah Stiles, Jillian Mueller, Freddie Stroma, Gary Anthony Williams, Dan Ahdoot",United States,15-Feb-21,2021,TV-14,1 Season,Tv Comedies,Life In The Garage Swerves Off Track For A Nascar Crew Chief And His Tight-Knit Racing Team When A New Boss Steps In And Shakes Things Up.
